roof_type,azimuth,southern_most_pitch,northern_most_pitch,pitch_change,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
waffle,0,15,20,0.5,18,10,15712.32334376357,0.69533384,1550467.559742877
waffle,0,15,20,1.0,18,10,15712.253250736338,0.7014794,1558300.2386099277
waffle,0,15,20,2.0,18,10,15712.183157709102,0.7080187,1566660.4976240874
waffle,0,15,20,0.5,18,12,15129.750154546648,0.69740117,1497640.8729552682
waffle,0,15,20,1.0,18,12,15129.710101388231,0.70746624,1513529.1295647526
waffle,0,15,20,2.0,18,12,15119.917104154574,0.7137512,1519883.6186886576
waffle,0,15,20,0.5,18,14,14266.053859670308,0.70015687,1417775.6465748267
waffle,0,15,20,1.0,18,14,14263.250138580917,0.7072354,1426457.689794775
waffle,0,15,20,2.0,18,14,14259.80556695681,0.7130281,1431960.673987757
waffle,0,15,20,0.5,18,16,14319.044188259788,0.6980939,1418598.335098869
waffle,0,15,20,1.0,18,16,14319.034174970184,0.70297897,1423140.5726837486
waffle,0,15,20,2.0,18,16,14319.014148390974,0.7089282,1429642.2720011226
waffle,0,15,20,0.5,18,20,12242.738522222066,0.7213557,1253673.5580907927
waffle,0,15,20,1.0,18,20,12242.698469063645,0.7302073,1263865.0910453
waffle,0,15,20,2.0,18,20,12242.668429194831,0.7365989,1269784.2248220684
waffle,45,15,20,0.5,8,4,15671.559241781757,0.69809616,1484234.7789522687
waffle,45,15,20,1.0,8,4,15669.476477543922,0.7060319,1498006.821367141
waffle,45,15,20,2.0,8,4,15666.412410924804,0.7291151,1543385.793246286
waffle,45,15,20,0.5,8,8,13175.03586418203,0.70488596,1260043.2061680409
waffle,45,15,20,1.0,8,8,13173.443751134839,0.7125094,1271072.1843960383
waffle,45,15,20,2.0,8,8,13172.913046785778,0.7357482,1309622.443807724
waffle,45,15,20,0.5,8,10,12305.992472656635,0.71959263,1201599.9219675008
waffle,45,15,20,1.0,8,10,12303.088618671196,0.7270978,1211556.5185843795
waffle,45,15,20,2.0,8,10,12300.344977319433,0.74711645,1241806.5160041035
waffle,45,15,20,0.5,8,12,11305.544681645273,0.7290507,1118562.5686142046
waffle,45,15,20,1.0,8,12,11299.606800909529,0.7363194,1126885.002957479
waffle,45,15,20,2.0,8,12,11294.65022255507,0.74657,1139418.4630041888
waffle,45,15,20,0.5,8,14,10424.635541937994,0.72048134,1019205.360186574
