roof_type,azimuth,pitch,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
waffle,45,15,8,10,12293.61978716469,0.7673609,1270855.6068954472
waffle,45,15,8,12,11279.996145464465,0.76594424,1163911.808500488
waffle,45,15,8,14,10405.920602648755,0.76204526,1068235.9499070405
waffle,45,15,8,16,9705.546747387652,0.7642927,999287.2653978574
waffle,45,15,8,20,8932.009517042303,0.76121026,915920.8069589224
waffle,45,30,8,4,15645.958224068516,0.59391403,1272314.0347663418
waffle,45,30,8,8,13153.46717122924,0.6072312,1093913.3990955038
waffle,45,30,8,10,12319.302564924521,0.61774695,1042491.5717632947
waffle,45,30,8,12,11311.416245507487,0.6147348,952480.9886408196
waffle,45,30,8,14,10430.411859724993,0.6281322,897652.2830491782
waffle,45,30,8,16,9736.01563343957,0.6287148,838677.2226835346
waffle,45,30,8,20,8978.79923262581,0.62993354,774964.5079355432
waffle,45,45,8,4,13049.164053909875,0.48825186,853727.2587620585
waffle,45,45,8,8,11310.424980400967,0.488361,740140.8228297023
waffle,45,45,8,10,10611.092454140653,0.51373637,731156.4396646809
waffle,45,45,8,12,9878.998115470917,0.5159518,683699.9296509038
waffle,45,45,8,14,9271.873269674652,0.5173739,643482.6670326745
waffle,45,45,8,16,8708.374101344116,0.5090464,594472.5950514593
waffle,45,45,8,20,8081.494042869432,0.5151964,558465.7530667204
waffle,45,15,12,4,16609.758278192552,0.74353623,1663508.8333253874
waffle,45,15,12,8,14874.383498378498,0.75512433,1513030.288853177
waffle,45,15,12,10,14062.517350581049,0.7516166,1423773.6007276464
waffle,45,15,12,12,13159.334659637527,0.74923825,1328095.2307322067
waffle,45,15,12,14,12416.156174776708,0.745881,1247449.5487118268
waffle,45,15,12,16,12112.658834941125,0.7491103,1222250.5688783608
waffle,45,15,12,20,10616.709623077597,0.7603382,1087424.0821836118
waffle,45,30,12,4,16548.690339963618,0.5869447,1329725.8580807836
waffle,45,30,12,8,14878.178341564066,0.60083634,1224160.2879506403
waffle,45,30,12,10,14053.235504583636,0.6120357,1178100.5240133428
waffle,45,30,12,12,13172.161029349165,0.60737634,1095733.0645145564
waffle,45,30,12,14,12419.560519586976,0.6142522,1044962.0626656859
waffle,45,30,12,16,12119.958150725499,0.6201243,1029614.1200571203
waffle,45,30,12,20,10622.907533188061,0.6268454,912325.7114041365
waffle,45,45,12,4,13496.615115325616,0.48024428,868232.6546548794
waffle,45,45,12,8,12763.279192078015,0.49110645,840001.6405134897
waffle,45,45,12,10,12135.147536246615,0.5018432,816461.0521775787
waffle,45,45,12,12,11368.258791060145,0.49299255,751119.3354069927
waffle,45,45,12,14,10972.734000779878,0.49913225,734189.7910430926
waffle,45,45,12,16,10651.07348010362,0.5183367,740601.4174344528
waffle,45,45,12,20,9457.730470757695,0.52495646,666171.4550261849
waffle,45,15,18,4,17204.557393219864,0.7401277,1715140.9617416372
waffle,45,15,18,8,16038.739512942859,0.74148554,1601867.6181926022
waffle,45,15,18,10,15401.786598941319,0.7386923,1532427.6548644926
waffle,45,15,18,12,14874.904162878893,0.7507901,1504361.1611032868
waffle,45,15,18,14,14371.862153267211,0.75428855,1460288.6841575662
waffle,45,15,18,16,13763.846170152967,0.7611319,1411249.0644397794
waffle,45,15,18,20,12628.156741446852,0.7580027,1289459.3782752731
waffle,45,30,18,4,17119.578939088213,0.5896088,1381924.7886929882
waffle,45,30,18,8,15984.52031544988,0.58754563,1285726.021369812
waffle,45,30,18,10,15372.138760755406,0.5987509,1260357.9555257445
waffle,45,30,18,12,14860.686016906588,0.6061906,1233751.5239768554
waffle,45,30,18,14,14352.948014012505,0.6155063,1210128.2446221875
waffle,45,30,18,16,13730.7038721471,0.6113007,1149663.7670420832
waffle,45,30,18,20,12615.851036235612,0.6150774,1062920.0749143618
waffle,45,45,18,4,13908.811182397352,0.4727952,880588.5040304468
waffle,45,45,18,8,13345.982870250016,0.477611,853739.5417090628
waffle,45,45,18,10,13115.278432681092,0.48612022,854232.6202837245
waffle,45,45,18,12,12809.918715978716,0.49442947,848886.885497086
waffle,45,45,18,14,12563.063666118716,0.5027075,846734.6091030661
waffle,45,45,18,16,11775.498532599284,0.5043151,796239.2995497087
waffle,45,45,18,20,11173.880715172574,0.51541245,772492.5265254829
