roof_type,azimuth,pitch,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
sawtooth,45,15,8,16,5723.985261757367,0.75995195,585984.3130625023
sawtooth,45,15,8,20,5300.224435109566,0.7503906,535747.3040679286
sawtooth,45,30,8,4,11659.750809050098,0.61608577,983995.077903148
sawtooth,45,30,8,8,8740.515121464607,0.69018793,827211.51308394
sawtooth,45,30,8,10,7912.658565837742,0.69312835,752073.7623112834
sawtooth,45,30,8,12,7287.901216480051,0.7081996,707845.8679577007
sawtooth,45,30,8,14,6365.564079589335,0.71087646,620612.4468725605
sawtooth,45,30,8,16,5749.85828231542,0.7163831,564949.0472664795
sawtooth,45,30,8,20,5323.9947721083345,0.72667575,530657.178780177
sawtooth,45,45,8,4,10637.946727026372,0.5276195,753168.7392907174
sawtooth,45,45,8,8,8702.076063445116,0.57792944,675811.2579378678
sawtooth,45,45,8,10,7916.543524032991,0.5908286,628714.9179898801
sawtooth,45,45,8,12,7287.901216480051,0.61913776,606865.925581852
sawtooth,45,45,8,14,6377.259005290498,0.63772804,547152.9159052817
sawtooth,45,45,8,16,5751.980991432412,0.6373883,493240.0792188495
sawtooth,45,45,8,20,5332.004995191323,0.67615384,485286.2799257726
sawtooth,45,15,12,4,13402.404879090816,0.6879164,1241233.2843306686
sawtooth,45,15,12,8,10720.802472041034,0.738081,1065797.6202660946
sawtooth,45,15,12,10,9581.3081873705,0.7318293,944404.2899771115
sawtooth,45,15,12,12,8763.504461712784,0.75363874,889667.2330399101
sawtooth,45,15,12,14,7773.761297578721,0.76743436,803691.4224772071
sawtooth,45,15,12,16,7701.368906466211,0.747615,775562.7327808124
sawtooth,45,15,12,20,6533.999045466877,0.7765854,683598.863864049
sawtooth,45,30,12,4,12781.38229624557,0.60533106,1059602.421062783
sawtooth,45,30,12,8,10743.110943327158,0.6576415,968431.786797799
sawtooth,45,30,12,10,9607.341412390213,0.6691462,881327.5811460585
sawtooth,45,30,12,12,8789.377482270838,0.6930536,835312.5159661702
sawtooth,45,30,12,14,7779.288351505982,0.718699,766832.680024104
sawtooth,45,30,12,16,7725.13924346498,0.7161374,758767.531673215
sawtooth,45,30,12,20,6543.831594301244,0.75624853,678877.3098862331
sawtooth,45,45,12,4,11361.640344237827,0.5258302,801631.6429606364
sawtooth,45,45,12,8,10190.525703947193,0.55385125,757960.6482443445
sawtooth,45,45,12,10,9370.999780326636,0.5622201,707697.9729994772
sawtooth,45,45,12,12,8756.295260938095,0.58890593,693113.6436600912
sawtooth,45,45,12,14,7781.411060622974,0.61911035,647931.636407303
sawtooth,45,45,12,16,7733.149466547969,0.6251224,650235.1381102402
sawtooth,45,45,12,20,6544.232105455394,0.67100936,591049.3379335831
sawtooth,45,15,18,4,14403.071984954306,0.70204866,1361530.3293279884
sawtooth,45,15,18,8,12004.801181128683,0.73272187,1184732.8914083766
sawtooth,45,15,18,10,11259.790357737627,0.74826664,1134904.841735747
sawtooth,45,15,18,12,10329.54312555246,0.75189215,1046209.9980492046
sawtooth,45,15,18,14,9723.389519305008,0.78269595,1025304.5426134301
sawtooth,45,15,18,16,9567.690808129419,0.7350664,947256.6602138436
sawtooth,45,15,18,20,8170.948209148707,0.7383364,812589.0272249002
sawtooth,45,30,18,4,13361.402549684768,0.61539644,1126325.5237210481
sawtooth,45,30,18,8,11824.651263992271,0.63318413,1025913.0984826968
sawtooth,45,30,18,10,11256.295897917671,0.6671214,1029444.2855225541
sawtooth,45,30,18,12,10329.54312555246,0.686426,972234.1057716785
sawtooth,45,30,18,14,9733.222068139377,0.7140089,953146.7258048232
sawtooth,45,30,18,16,9578.224251483549,0.6794605,892305.5107059391
sawtooth,45,30,18,20,8170.948209148707,0.69041896,773567.6826644678
sawtooth,45,45,18,4,11821.206868066587,0.5370337,852130.8279386649
sawtooth,45,45,18,8,10923.511179934914,0.54015154,792067.3318686236
sawtooth,45,45,18,10,10720.702344252495,0.5748647,828102.9908592708
sawtooth,45,45,18,12,9948.596941283231,0.59111345,790482.1268944283
sawtooth,45,45,18,14,9519.499303506389,0.6244943,799625.833895486
sawtooth,45,45,18,16,9453.885563677859,0.5803218,737278.6946816886
sawtooth,45,45,18,20,8170.948209148707,0.59977174,658867.7140003509
