azimuth,southern_most_pitch,northern_most_pitch,pitch_change,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
0,15,20,0.5,12,8,10501.247220705589,0.7424191,1106857.2019748332
0,15,20,1.0,12,8,10501.217180836773,0.746068,1107730.4659854476
0,15,20,2.0,12,8,10476.574475118954,0.7513598,1109000.7535850857
0,15,20,0.5,12,10,9754.466095256832,0.76632905,1061211.0621069742
0,15,20,1.0,12,10,9754.466095256832,0.768821,1060402.2001121733
0,15,20,2.0,12,10,9729.472924402835,0.7731632,1059470.6300286858
0,15,20,0.5,12,12,8975.071685564699,0.7526665,959117.7949677977
0,15,20,1.0,12,12,8975.071685564697,0.75446427,957846.8512288131
0,15,20,2.0,12,12,8950.438993136482,0.75793624,955876.4460092441
0,15,20,0.5,12,14,7991.976925438742,0.7892749,895765.0783606615
0,15,20,1.0,12,14,7967.704711436304,0.79106236,891737.2247088918
0,15,20,2.0,12,14,7967.704711436305,0.79368854,891206.8991021543
0,15,20,0.5,12,16,7676.628395909547,0.7902592,861309.0099256624
0,15,20,1.0,12,16,7676.628395909548,0.7906088,858370.7058177673
0,15,20,2.0,12,16,7676.628395909548,0.79190254,856393.1778921919
0,15,20,0.5,12,20,6462.89753631241,0.79158616,726671.6448187323
0,15,20,1.0,12,20,6462.897536312411,0.79172665,724051.2361889502
0,15,20,2.0,12,20,6462.897536312411,0.79262793,721714.9608452581
0,15,20,0.5,18,4,13814.154099798194,0.6742211,1321763.2915064446
0,15,20,1.0,18,4,13899.98801829196,0.67718655,1330627.2918104986
0,15,20,2.0,18,4,13961.239310805537,0.68225807,1340969.228826272
0,15,20,0.5,18,8,12061.157528525611,0.7023301,1202420.709400251
0,15,20,1.0,18,8,12071.521283266753,0.70589435,1204970.6338485316
0,15,20,2.0,18,8,12100.329517460237,0.71260655,1214375.7565034635
0,15,20,0.5,18,10,11670.368875112605,0.74597025,1235672.358583528
0,15,20,1.0,18,10,11670.368875112605,0.74926704,1236494.6960640398
0,15,20,2.0,18,10,11670.368875112605,0.7540945,1239774.4308184984
0,15,20,0.5,18,12,10441.888439927352,0.77007675,1141807.8033992024
0,15,20,1.0,18,12,10441.858400058536,0.7729691,1141568.0617197568
0,15,20,2.0,18,12,10417.215694340715,0.7818126,1147223.6825536215
0,15,20,0.5,18,14,9956.814651593984,0.73484325,1038872.4422689888
0,15,20,1.0,18,14,9956.814651593984,0.73658407,1037378.3142060161
0,15,20,2.0,18,14,9956.814651593984,0.73936105,1036969.0591310384
0,15,20,0.5,18,16,9559.357147304068,0.7634757,1035978.7295250531
0,15,20,1.0,18,16,9559.327107435254,0.7649445,1034032.719582616
0,15,20,2.0,18,16,9559.317094145646,0.76784474,1034201.9992021085
0,15,20,0.5,18,20,8324.798645328601,0.78851634,931952.2353024832
0,15,20,1.0,18,20,8324.768605459785,0.7892955,928582.6076153782
0,15,20,2.0,18,20,8324.758592170183,0.79075974,926527.725635099
45,15,20,0.5,8,4,11735.455257544882,0.67147017,1068701.719218345
45,15,20,1.0,8,4,11731.369835386056,0.6776118,1075974.8114760302
45,15,20,2.0,8,4,11726.002712157795,0.69626105,1102822.2377536804
45,15,20,0.5,8,8,8735.87422348127,0.71849537,851747.672332972
45,15,20,1.0,8,8,8735.373559001024,0.7206384,852560.8018308809
45,15,20,2.0,8,8,8734.212017406844,0.73003995,861574.7455679785
45,15,20,0.5,8,10,7894.517577713608,0.7111061,761681.7044131064
45,15,20,1.0,8,10,7892.20450781486,0.7121752,761187.1448077272
45,15,20,2.0,8,10,7891.01292635187,0.72686154,774901.5974716172
45,15,20,0.5,8,12,7278.259682265581,0.7300533,721155.2187372543
45,15,20,1.0,8,12,7274.414579057274,0.731784,720991.1316756883
45,15,20,2.0,8,12,7270.289103740028,0.7408252,727754.7194145918
45,15,20,0.5,8,14,6352.030393806227,0.7180345,618927.9803378101
45,15,20,1.0,8,14,6350.628533261532,0.7157277,615545.5560517531
45,15,20,2.0,8,14,6348.505715865278,0.7251591,622056.5006952493
45,15,20,0.5,8,16,5734.250478338245,0.73073083,568674.4579466303
45,15,20,1.0,8,16,5731.566916724114,0.73151183,568036.0463399873
45,15,20,2.0,8,16,5728.322610892106,0.7408953,573631.4397226614
45,15,20,0.5,8,20,5305.361257978342,0.7259426,522727.50135354087
45,15,20,1.0,8,20,5303.859264537596,0.72742796,522492.66853277135
